,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
13,14,20,191004.99478714162,91.0,10652,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,7,5,12,2007,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,30,306.0,0.75,184034.89625585024,225230.44204018547,202688.4789644013,181492.2277448071,206643.42081447964,180921.19589041095,0,180921.19589041095,0,1494,1494,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1494,0,0,1494,0,0,2,0,3,1,0.75,7,180921.19589041095,1,0.75,194411.47318611987,2006.0,202068.86966824645,3,840,0.5,0.5,186433.973880597,160,33,0,0,0,0,0.66,0.5,181007.1793814433,0,8,2007,180921.19589041095,180921.19589041095,279500
14,15,20,191004.99478714162,0.0,10920,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,181623.4258555133,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,6,5,58,1960,218876.93356643355,179803.6792189679,180921.19589041095,180921.19589041095,6,212.0,0.5,184034.89625585024,149805.714511041,138866.29591836734,181492.2277448071,163439.24823410696,149493.6554054054,733,180921.19589041095,0,520,1253,182021.19537815126,142362.8761682243,186186.7098901099,186810.63745318353,1253,0,0,1253,1,0,1,1,2,1,0.5,5,180921.19589041095,1,0.25,194411.47318611987,1960.0,202068.86966824645,1,352,0.5,0.5,186433.973880597,0,213,176,0,0,0,0.66,0.75,181007.1793814433,0,5,2008,180921.19589041095,175202.21953255427,157000
15,16,45,126316.83027522935,51.0,6120,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,124834.05172413793,184495.49206349207,181169.40553633217,185763.80737704918,110150.0,7,8,89,2001,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,132291.07534246575,138866.29591836734,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,832,832,182021.19537815126,214914.42914979756,186186.7098901099,122196.89361702128,854,0,0,854,0,0,1,0,2,1,0.5,5,180921.19589041095,0,0.75,180921.19589041095,1991.0,137570.4606413994,2,576,0.5,0.5,186433.973880597,48,112,0,0,0,0,0.66,1.0,181007.1793814433,0,7,2007,180921.19589041095,175202.21953255427,132000
16,17,20,191004.99478714162,0.0,11241,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,223854.6170212766,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,6,7,48,1970,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,6,180.0,0.5,184034.89625585024,149805.714511041,138866.29591836734,181492.2277448071,163439.24823410696,161573.06818181818,578,180921.19589041095,0,426,1004,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1004,0,0,1004,1,0,1,0,2,1,0.5,5,180921.19589041095,1,0.5,194411.47318611987,1970.0,240052.6903409091,2,480,0.5,0.5,186433.973880597,0,0,0,0,0,0,0.66,0.5,181007.1793814433,700,3,2010,180921.19589041095,175202.21953255427,149000
17,18,90,191004.99478714162,72.0,10791,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,133541.07692307694,175985.4779614325,4,5,51,1967,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,107365.625,138866.29591836734,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,0,0,182021.19537815126,142362.8761682243,186186.7098901099,186810.63745318353,1296,0,0,1296,0,0,2,0,2,2,0.5,6,180921.19589041095,0,0.75,109962.11111111111,1967.0,137570.4606413994,2,516,0.5,0.5,186433.973880597,0,0,0,0,0,0,0.66,0.5,181007.1793814433,500,10,2006,180921.19589041095,175202.21953255427,90000
18,19,20,191004.99478714162,66.0,13695,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,180921.19589041095,181169.40553633217,185763.80737704918,175985.4779614325,5,5,14,2004,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,225230.44204018547,138866.29591836734,181492.2277448071,163439.24823410696,235413.72009569377,646,180921.19589041095,0,468,1114,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1114,0,0,1114,1,0,1,1,3,1,0.75,6,180921.19589041095,0,0.75,180921.19589041095,2004.0,137570.4606413994,2,576,0.5,0.5,186433.973880597,0,102,0,0,0,0,0.66,0.5,181007.1793814433,0,6,2008,180921.19589041095,175202.21953255427,159000
19,20,20,191004.99478714162,70.0,7560,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,60,1965,218876.93356643355,179803.6792189679,194573.0,180921.19589041095,0,0.0,0.5,184034.89625585024,149805.714511041,138866.29591836734,181492.2277448071,163439.24823410696,151852.7027027027,504,180921.19589041095,0,525,1029,182021.19537815126,142362.8761682243,186186.7098901099,186810.63745318353,1339,0,0,1339,0,0,1,0,3,1,0.5,6,146385.48387096773,0,0.75,194411.47318611987,1958.0,137570.4606413994,1,294,0.5,0.5,186433.973880597,0,0,0,0,0,0,0.66,0.5,181007.1793814433,0,5,2009,143973.2558139535,146526.62376237623,139000
20,21,60,191004.99478714162,101.0,14215,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,181623.4258555133,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,180921.19589041095,8,5,13,2006,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,6,380.0,0.75,184034.89625585024,225230.44204018547,327041.04132231406,181492.2277448071,206643.42081447964,180921.19589041095,0,180921.19589041095,0,1158,1158,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1158,1218,0,2376,0,0,3,1,4,1,0.75,9,180921.19589041095,1,0.75,254751.73863636365,2005.0,202068.86966824645,3,853,0.5,0.5,186433.973880597,240,154,0,0,0,0,0.66,0.5,181007.1793814433,0,11,2006,180921.19589041095,180921.19589041095,325300
21,22,45,126316.83027522935,57.0,7449,181130.53851444292,181294.5186751233,164754.81837837838,143104.07936507938,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,110150.0,7,7,88,1950,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,225230.44204018547,138866.29591836734,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,637,637,182021.19537815126,214914.42914979756,186186.7098901099,107675.44444444444,1108,0,0,1108,0,0,1,0,3,1,0.75,6,180921.19589041095,1,0.75,194411.47318611987,1930.0,137570.4606413994,1,280,0.5,0.5,115039.12222222223,0,0,205,0,0,0,0.66,1.0,181007.1793814433,0,6,2007,180921.19589041095,175202.21953255427,139400
22,23,20,191004.99478714162,75.0,9742,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,16,2002,218876.93356643355,179803.6792189679,180921.19589041095,180921.19589041095,6,281.0,0.75,184034.89625585024,225230.44204018547,202688.4789644013,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,1777,1777,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1795,0,0,1795,0,0,2,0,3,1,0.75,7,180921.19589041095,1,0.75,194411.47318611987,2002.0,202068.86966824645,2,534,0.5,0.5,186433.973880597,171,159,0,0,0,0,0.66,0.5,181007.1793814433,0,9,2008,180921.19589041095,175202.21953255427,230000
23,24,120,126316.83027522935,44.0,4224,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,181959.34210526315,175985.4779614325,5,7,42,1976,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,225230.44204018547,202688.4789644013,181492.2277448071,163439.24823410696,235413.72009569377,840,180921.19589041095,0,200,1040,182021.19537815126,142362.8761682243,186186.7098901099,186810.63745318353,1060,0,0,1060,1,0,1,0,3,1,0.5,6,180921.19589041095,1,0.5,194411.47318611987,1976.0,137570.4606413994,2,572,0.5,0.5,186433.973880597,100,110,0,0,0,0,0.66,0.5,181007.1793814433,0,6,2007,180921.19589041095,175202.21953255427,129900
24,25,20,191004.99478714162,0.0,8246,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,8,50,2001,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,168897.5684931507,149805.714511041,138866.29591836734,181492.2277448071,192789.65789473685,146889.24812030076,188,209942.1052631579,668,204,1060,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1060,0,0,1060,1,0,1,0,3,1,0.75,6,180921.19589041095,1,0.5,194411.47318611987,1968.0,137570.4606413994,1,270,0.5,0.5,186433.973880597,406,90,0,0,0,0,0.66,0.5,181007.1793814433,0,5,2010,180921.19589041095,175202.21953255427,154000
25,26,20,191004.99478714162,110.0,14230,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,11,2007,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,30,640.0,0.75,184034.89625585024,225230.44204018547,202688.4789644013,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,1566,1566,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1600,0,0,1600,0,0,2,0,3,1,0.75,7,180921.19589041095,1,0.75,194411.47318611987,2007.0,202068.86966824645,3,890,0.5,0.5,186433.973880597,0,56,0,0,0,0,0.66,0.5,181007.1793814433,0,7,2009,180921.19589041095,175202.21953255427,256300
26,27,20,191004.99478714162,60.0,7200,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,7,67,2000,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,149805.714511041,138866.29591836734,181492.2277448071,192789.65789473685,149493.6554054054,234,164917.12962962964,486,180,900,182021.19537815126,142362.8761682243,186186.7098901099,186810.63745318353,900,0,0,900,0,1,1,0,3,1,0.75,5,180921.19589041095,0,0.75,180921.19589041095,2005.0,137570.4606413994,2,576,0.5,0.5,186433.973880597,222,32,0,0,0,0,0.66,0.5,181007.1793814433,0,5,2010,180921.19589041095,175202.21953255427,134800
27,28,20,191004.99478714162,98.0,11478,181130.53851444292,181294.5186751233,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,11,2008,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,30,200.0,0.75,184034.89625585024,225230.44204018547,327041.04132231406,181492.2277448071,163439.24823410696,235413.72009569377,1218,180921.19589041095,0,486,1704,182021.19537815126,214914.42914979756,186186.7098901099,186810.63745318353,1704,0,0,1704,1,0,2,0,3,1,0.75,7,180921.19589041095,1,0.75,194411.47318611987,2008.0,202068.86966824645,3,772,0.5,0.5,186433.973880597,0,50,0,0,0,0,0.66,0.5,181007.1793814433,0,5,2010,180921.19589041095,175202.21953255427,306000
28,29,20,191004.99478714162,47.0,16321,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,223854.6170212766,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,61,1997,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,149805.714511041,138866.29591836734,181492.2277448071,257689.80597014926,149493.6554054054,1277,180921.19589041095,0,207,1484,182021.19537815126,142362.8761682243,186186.7098901099,186810.63745318353,1600,0,0,1600,1,0,1,0,2,1,0.5,6,180921.19589041095,2,0.75,194411.47318611987,1957.0,202068.86966824645,1,319,0.5,0.5,186433.973880597,288,258,0,0,0,0,0.66,0.5,181007.1793814433,0,12,2006,180921.19589041095,175202.21953255427,207500
29,30,30,126316.83027522935,60.0,6324,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,124834.05172413793,142475.4814814815,180921.19589041095,185763.80737704918,175985.4779614325,4,6,91,1950,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,132291.07534246575,138866.29591836734,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,520,520,182021.19537815126,123919.48979591837,105264.07368421053,186810.63745318353,520,0,0,520,0,0,1,0,1,1,0.25,4,180921.19589041095,0,0.75,180921.19589041095,1920.0,137570.4606413994,1,240,0.25,0.5,186433.973880597,49,0,87,0,0,0,0.66,0.5,181007.1793814433,0,5,2008,180921.19589041095,175202.21953255427,68500
30,31,70,74528.0,50.0,8500,181130.53851444292,168000.58536585365,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,180921.19589041095,142475.4814814815,181169.40553633217,185763.80737704918,180921.19589041095,4,4,98,1950,148909.0909090909,179803.6792189679,194573.0,195818.0,0,0.0,0.5,102595.14285714286,132291.07534246575,138866.29591836734,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,649,649,182021.19537815126,142362.8761682243,105264.07368421053,186810.63745318353,649,668,0,1317,0,0,1,0,3,1,0.5,6,180921.19589041095,0,0.75,180921.19589041095,1920.0,137570.4606413994,1,250,0.5,0.25,115039.12222222223,0,54,172,0,0,0,0.66,0.5,181007.1793814433,0,7,2008,180921.19589041095,175202.21953255427,40000
31,32,20,191004.99478714162,0.0,8544,181130.53851444292,181294.5186751233,206101.6652892562,180183.74675819985,223854.6170212766,179956.7995658466,180921.19589041095,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,52,2006,171483.95617879054,179803.6792189679,180921.19589041095,180921.19589041095,0,0.0,0.5,184034.89625585024,149805.714511041,138866.29591836734,181492.2277448071,163439.24823410696,180921.19589041095,0,180921.19589041095,0,1228,1228,182021.19537815126,156858.87136929462,186186.7098901099,186810.63745318353,1228,0,0,1228,0,0,1,1,3,1,0.75,6,180921.19589041095,0,0.75,194411.47318611987,1966.0,137570.4606413994,1,271,0.5,0.5,186433.973880597,0,65,0,0,0,0,0.66,0.5,181007.1793814433,0,6,2008,180921.19589041095,175202.21953255427,149350
